"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"35",35,"'Manos' the Hands of Fate",1966,74,19000,1.6,7996,0,0,0,0,0,0,0
"112",112,"10 Things I Hate About You",1999,97,16000000,6.7,19095,0,0,1,0,0,1,0
"145",145,"102 Dalmatians",2000,100,85000000,4.7,1987,0,0,1,0,0,0,0
"156",156,"12 Angry Men",1957,96,340000,8.7,29278,0,0,0,1,0,0,0
"173",173,"13 Going On 30",2004,98,37000000,6.4,7859,0,0,1,1,0,1,0
"186",186,"13th Warrior, The",1999,102,85000000,6.1,14344,1,0,0,0,0,0,0
"192",192,"1492: Conquest of Paradise",1992,154,47000000,6,3379,0,0,0,1,0,0,0
"197",197,"15 Minutes",2001,120,42000000,6.1,10866,0,0,0,1,0,0,0
"210",210,"1776",1972,180,4000000,7.3,1754,0,0,0,1,0,0,0
"225",225,"1900",1976,245,9000000,7.5,2408,0,0,0,1,0,0,0
"232",232,"1941",1979,146,35000000,5.6,5536,0,0,1,0,0,0,0
"251",251,"2 Fast 2 Furious",2003,107,76000000,5.1,9556,1,0,0,0,0,0,0
"276",276,"200 Cigarettes",1999,101,6000000,5.4,4514,0,0,1,1,0,0,0
"280",280,"20000 Leagues Under the Sea",1954,127,5000000,7.1,2741,0,0,0,1,0,0,0
"282",282,"2001: A Space Odyssey",1968,156,10500000,8.3,64982,0,0,0,0,0,0,0
"283",283,"2001: A Space Travesty",2000,99,26000000,2.5,2023,0,0,1,0,0,0,0
"291",291,"2046",2004,129,12000000,7.6,2663,0,0,0,1,0,1,0
"297",297,"21 Grams",2003,124,20000000,8,21857,0,0,0,1,0,0,0
"326",326,"25th Hour",2002,135,15000000,7.8,15788,0,0,0,1,0,0,0
"333",333,"28 Days",2000,103,43000000,6,7465,0,0,0,1,0,0,0
"334",334,"28 Days Later...",2002,113,8000000,7.3,24174,0,0,0,0,0,0,0
"385",385,"3000 Miles to Graceland",2001,125,62000000,5.4,7298,1,0,1,0,0,0,0
"432",432,"40 Days and 40 Nights",2002,96,17000000,5.4,8609,0,0,1,1,0,1,0
"444",444,"42nd Street",1933,89,439000,7.5,1247,0,0,0,1,0,1,0
"472",472,"50 First Dates",2004,99,75000000,6.8,13497,0,0,1,0,0,1,0
"480",480,"51st State, The",2001,92,28000000,6.1,6752,1,0,1,0,0,0,0
"483",483,"54",1998,100,13000000,5.4,6905,0,0,0,1,0,0,0
"505",505,"6th Day, The",2000,123,82000000,5.9,12064,1,0,0,0,0,0,0
